Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM1881744,"H1N1 DEE3 Subject 1, Hour -21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881744/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881745,"H1N1 DEE3 Subject 1, Hour 0","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881745/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881746,"H1N1 DEE3 Subject 1, Hour 5","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881746/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881747,"H1N1 DEE3 Subject 1, Hour 12","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881747/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881748,"H1N1 DEE3 Subject 1, Hour 21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881748/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881749,"H1N1 DEE3 Subject 1, Hour 29","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881749/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881750,"H1N1 DEE3 Subject 1, Hour 36","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881750/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881751,"H1N1 DEE3 Subject 1, Hour 45","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881751/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881752,"H1N1 DEE3 Subject 1, Hour 53","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881752/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881753,"H1N1 DEE3 Subject 1, Hour 60","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881753/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881754,"H1N1 DEE3 Subject 1, Hour 69","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881754/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881755,"H1N1 DEE3 Subject 1, Hour 77","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881755/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881756,"H1N1 DEE3 Subject 1, Hour 84","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881756/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881757,"H1N1 DEE3 Subject 1, Hour 93","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881757/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881758,"H1N1 DEE3 Subject 1, Hour 101","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881758/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881759,"H1N1 DEE3 Subject 1, Hour 108","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881759/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881760,"H1N1 DEE3 Subject 1, Hour 118","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881760/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881761,"H1N1 DEE3 Subject 1, Hour 125","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881761/suppl",,"Alfred Hero","Jun 22, 2016"
